work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-000259,VEH-0464,2025-01-25,Tyre Change,Battery Pack,6.4,12344.32,81.5,,TEC-059
WO-000260,VEH-0243,2024-05-12,Frame Repair,Propeller x2,10.7,1459.64,13.9,0.0,TEC-141
WO-000261,VEH-0243,2025-06-23,Firmware Update,,12.8,35254.54,6.2,,TEC-052
WO-000262,VEH-0243,2025-03-31,Firmware Update,,7.1,36184.69,15.0,,TEC-216
WO-000263,VEH-0243,2024-05-21,Routine Inspection,,4.6,11385.77,34.7,0.0,TEC-220
WO-000264,VEH-0243,2025-04-23,Brake Pad Replacement,"Brake Pads, Fluid",6.3,9098.54,85.1,0.0,TEC-142
WO-000265,VEH-0243,2024-04-22,Frame Repair,Propeller x2,-,39965.54,65.5,,TEC-121
WO-000266,VEH-0522,2024-10-14,Routine Inspection,Landing Skid,4.0,42725.18,12.5,0.0,TEC-110
WO-000267,VEH-0522,2025-09-06,Engine Service,,8.4,45530.91,27.8,,TEC-214
WO-000268,VEH-0522,2025-02-02,Battery Pack Swap,,11.4,29025.8,70.0,1.0,TEC-194
WO-000269,VEH-0275,2024-06-20,Battery Pack Swap,Battery Pack,2.9,6978.38,63.8,1.0,TEC-029
WO-000270,VEH-0275,2024-07-07,Tyre Change,Propeller x2,7.4,35882.95,48.0,0.0,TEC-045
WO-000271,VEH-0275,2025-04-17,Frame Repair,,3.2,37442.49,12.7,0.0,TEC-027
WO-000272,VEH-0396,2024-02-17,Routine Inspection,"Brake Pads, Fluid",5.4,19361.52,55.9,,TEC-122
WO-000273,VEH-0396,2024-10-03,Propeller Replacement,"Motor, ESC",0.8,19149.33,55.4,,TEC-203
WO-000274,VEH-0396,2025-05-03,Routine Inspection,,5.8,20169.1,13.3,,TEC-156
WO-000275,VEH-0396,2024-12-07,Frame Repair,Propeller x2,4.7,47691.22,67.7,1.0,TEC-020
WO-000276,VEH-0345,2024-08-03,Frame Repair,Landing Skid,6.6,27688.79,21.1,0.0,TEC-153
WO-000277,VEH-0603,2024-12-22,Motor Overhaul,"Motor, ESC",3.3,45263.28,55.6,,TEC-214
WO-000278,VEH-0603,2024-06-16,Routine Inspection,Propeller x2,2.9,46512.52,66.7,0.0,TEC-148
WO-000279,VEH-0603,2025-05-15,Routine Inspection,"Motor, ESC",10.7,26766.55,73.2,,TEC-188
WO-000280,VEH-0603,2024-02-11,Routine Inspection,,9.0,19599.75,40.6,1.0,TEC-131
WO-000281,VEH-0603,2024-10-08,Motor Overhaul,"Brake Pads, Fluid",2.1,46706.01,62.1,,TEC-084
WO-000282,VEH-0603,2024-04-06,Routine Inspection,,5.5,34182.65,1.3,0.0,TEC-048
WO-000283,VEH-0584,2024-10-14,Motor Overhaul,,5.6,12030.82,79.5,1.0,TEC-107
WO-000284,VEH-0134,2024-10-05,Motor Overhaul,Battery Pack,3.1,19194.81,60.2,0.0,TEC-206
WO-000285,VEH-0134,2024-05-24,Motor Overhaul,"Brake Pads, Fluid",3.4,29813.41,87.7,1.0,TEC-220
WO-000286,VEH-0134,2024-08-09,Landing Gear Fix,Propeller x2,7.9,16337.94,8.7,0.0,TEC-023
WO-000287,VEH-0134,2025-06-25,Routine Inspection,,1.7,32864.57,15.3,0.0,TEC-216
WO-000288,VEH-0196,2025-06-20,Firmware Update,,13.6,1250.32,28.0,1.0,TEC-008
WO-000289,VEH-0196,2025-03-11,Motor Overhaul,Propeller x2,9.2,12533.59,24.6,0.0,TEC-091
WO-000290,VEH-0013,2025-04-19,Brake Pad Replacement,,13.3,23096.8,64.5,,TEC-101
WO-000292,VEH-0329,2025-01-31,Engine Service,,6.8,40177.48,38.0,,TEC-046
WO-000293,VEH-9105,2024-07-26,Landing Gear Fix,"Motor, ESC",6.7,12515.98,69.9,0.0,TEC-207
WO-000294,VEH-0289,2024-06-26,Propeller Replacement,"Brake Pads, Fluid",5.8,22501.84,35.3,0.0,TEC-093
WO-000295,VEH-0289,2025-11-05,Routine Inspection,Battery Pack,9.9,37720.85,29.4,0.0,TEC-192
WO-000296,VEH-0502,2024-07-30,Landing Gear Fix,,4.0,22974.55,92.6,1.0,TEC-181
WO-000297,VEH-0502,2024-11-30,Brake Pad Replacement,,6.8,34148.1,19.4,1.0,TEC-101
WO-000298,VEH-0502,2025-01-05,Routine Inspection,Propeller x2,10.3,14795.72,57.1,,TEC-084
WO-000299,VEH-0502,2024-02-01,Routine Inspection,Battery Pack,6.0,32530.89,14.3,1.0,TEC-158
WO-000300,VEH-0502,2024-09-27,Brake Pad Replacement,"Motor, ESC",7.6,42720.24,52.2,1.0,TEC-090
WO-000301,VEH-0710,2024-01-29,Firmware Update,Battery Pack,6.2,13137.47,88.0,1.0,TEC-009
WO-000302,VEH-0299,2024-10-27,Propeller Replacement,Propeller x2,2.2,46001.92,92.4,1.0,TEC-185
WO-000303,VEH-0299,2025-05-12,Frame Repair,,0.8,7376.61,66.2,0.0,TEC-037
WO-000304,VEH-0299,2024-04-01,Landing Gear Fix,Battery Pack,10.1,29053.25,40.7,,TEC-024
WO-000305,VEH-0142,2025-07-01,Engine Service,,2.4,45550.02,79.0,0.0,TEC-185
WO-000306,VEH-0142,2025-03-05,Landing Gear Fix,Battery Pack,0.7,33983.19,84.7,0.0,TEC-188
WO-000307,VEH-0142,2024-04-19,Landing Gear Fix,"Brake Pads, Fluid",5.3,36853.54,6.7,1.0,TEC-023
WO-000308,VEH-0142,2024-05-01,Frame Repair,,9.5,19474.43,45.5,,TEC-013
WO-000309,VEH-0142,2024-01-31,Engine Service,Propeller x2,10.9,8138.24,32.3,,TEC-090
WO-000310,VEH-0274,2025-05-13,Firmware Update,"Motor, ESC",5.6,13291.29,32.1,,TEC-070
WO-000311,VEH-0274,2025-04-06,Motor Overhaul,Propeller x2,,46213.13,1.7,1.0,TEC-067
WO-000312,VEH-0274,2025-02-13,Motor Overhaul,,3.5,46415.81,88.9,1.0,TEC-107
WO-000313,VEH-0274,2024-04-21,Engine Service,Propeller x2,3.4,20311.56,37.3,,TEC-101
WO-000314,VEH-0508,2024-12-24,Routine Inspection,,6.1,10509.47,86.7,,TEC-045
WO-000315,VEH-0508,2024-06-22,Frame Repair,"Brake Pads, Fluid",-,45042.0,20.3,1.0,TEC-187
WO-000316,VEH-0508,2024-04-05,Landing Gear Fix,Battery Pack,7.7,2578.15,83.3,0.0,TEC-103
WO-000318,VEH-0518,2024-02-17,Tyre Change,,13.8,10912.23,95.8,,TEC-060
WO-000319,VEH-0518,2025-02-27,Propeller Replacement,Battery Pack,6.1,26352.89,55.2,0.0,TEC-026
WO-000320,VEH-0518,2025-06-30,Routine Inspection,"Brake Pads, Fluid",4.8,29268.64,34.0,0.0,TEC-205
WO-000321,VEH-0518,2025-02-19,Engine Service,Propeller x2,5.7,47204.37,81.6,1.0,TEC-088
WO-000323,VEH-0434,2024-06-05,Firmware Update,"Motor, ESC",5.7,36144.03,86.2,,TEC-106
WO-000324,VEH-0434,2025-03-06,Motor Overhaul,Propeller x2,5.3,47184.76,33.4,,TEC-208
WO-000325,VEH-0434,2024-04-11,Tyre Change,Battery Pack,8.5,25250.18,73.9,1.0,TEC-128
WO-000326,VEH-0434,2025-04-19,Battery Pack Swap,Battery Pack,8.3,38048.47,67.8,0.0,TEC-202
WO-000327,VEH-0434,2024-12-22,Battery Pack Swap,,9.0,13957.77,28.3,1.0,TEC-003
WO-000328,VEH-0246,2024-04-02,Tyre Change,,3.4,16528.82,90.0,0.0,TEC-153
WO-000329,VEH-0246,2024-10-31,Brake Pad Replacement,Battery Pack,0.6,37309.96,54.0,0.0,TEC-041
WO-000330,VEH-0246,2025-02-13,Motor Overhaul,Battery Pack,13.6,43880.26,73.6,1.0,TEC-145
WO-000332,VEH-0399,2025-02-25,Tyre Change,Propeller x2,13.5,2468.9,63.5,1.0,TEC-102
WO-000333,VEH-0399,2024-06-14,Motor Overhaul,,10.6,43315.14,8.9,0.0,TEC-157
WO-000334,VEH-0399,2025-03-04,Brake Pad Replacement,,2.0,19934.56,95.6,0.0,TEC-206
WO-000335,VEH-0399,2024-03-16,Frame Repair,Landing Skid,5.1,29121.05,22.0,,TEC-033
WO-000336,VEH-0399,2025-05-30,Tyre Change,,2.0,37220.76,65.5,1.0,TEC-119
WO-000337,VEH-0399,2024-01-03,Brake Pad Replacement,Propeller x2,5.4,19871.09,60.4,,TEC-003
WO-000338,VEH-0076,2025-01-11,Routine Inspection,"Brake Pads, Fluid",11.4,25706.09,62.4,1.0,TEC-166
WO-000339,VEH-0076,2025-06-16,Battery Pack Swap,"Motor, ESC",11.4,3180.56,67.4,1.0,TEC-185
WO-000340,VEH-0076,2024-03-18,Motor Overhaul,Propeller x2,2.5,47935.86,54.1,1.0,TEC-042
WO-000341,VEH-0076,2024-07-28,Landing Gear Fix,"Brake Pads, Fluid",2.9,30094.73,82.2,1.0,TEC-148
WO-000342,VEH-0383,2024-03-31,Engine Service,Battery Pack,10.1,2608.28,44.1,1.0,TEC-030
WO-000343,VEH-0711,2024-02-15,Motor Overhaul,"Brake Pads, Fluid",4.0,19185.28,51.4,0.0,TEC-193
WO-000344,VEH-0711,2024-05-14,Landing Gear Fix,"Motor, ESC",12.0,16620.49,8.8,0.0,TEC-012
WO-000345,VEH-0711,2024-07-24,Brake Pad Replacement,,1.9,11816.46,73.1,,TEC-051
WO-000346,VEH-0711,2024-04-23,Frame Repair,"Motor, ESC",6.2,36494.1,69.9,0.0,TEC-118
WO-000348,VEH-0711,2025-06-02,Frame Repair,Battery Pack,9.0,6845.43,87.9,,TEC-163
WO-000349,VEH-0658,2024-09-04,Frame Repair,"Motor, ESC",13.6,38081.77,36.2,1.0,TEC-198
WO-000350,VEH-0296,2024-08-13,Brake Pad Replacement,Battery Pack,10.0,6276.8,35.4,,TEC-030
WO-000351,VEH-0296,2025-01-24,Motor Overhaul,,8.4,20555.09,32.9,,TEC-036
WO-000352,VEH-0631,2024-06-29,Engine Service,Battery Pack,8.4,38625.83,70.8,,TEC-126
WO-000353,VEH-0622,2024-06-07,Tyre Change,Propeller x2,11.0,16078.89,27.1,1.0,TEC-122
WO-000354,VEH-0622,2024-01-19,Brake Pad Replacement,,11.1,37198.0,51.2,1.0,TEC-066
WO-000355,VEH-0501,2024-02-20,Routine Inspection,Landing Skid,7.6,32629.79,64.5,1.0,TEC-055
WO-000356,VEH-0501,2025-02-01,Landing Gear Fix,"Brake Pads, Fluid",10.7,39416.32,84.0,1.0,TEC-220
WO-000357,VEH-0505,2025-04-24,Motor Overhaul,Propeller x2,1.2,47009.05,89.4,1.0,TEC-142
WO-000358,VEH-0133,2025-03-25,Brake Pad Replacement,,9.0,40419.01,8.9,1.0,TEC-180
WO-000359,VEH-0248,2024-01-18,Landing Gear Fix,Battery Pack,9.4,41150.37,67.1,0.0,TEC-100
WO-000360,VEH-0248,2025-02-05,Propeller Replacement,"Brake Pads, Fluid",3.4,36146.54,10.0,0.0,TEC-133
WO-000361,VEH-0660,2024-10-29,Tyre Change,Propeller x2,2.4,42210.09,2.5,0.0,TEC-150
WO-000362,VEH-0660,2024-06-21,Landing Gear Fix,Propeller x2,5.5,6665.48,68.5,1.0,TEC-062
WO-000363,VEH-0660,2024-02-27,Firmware Update,,6.3,1612.93,16.9,1.0,TEC-071
WO-000364,VEH-0200,2024-09-20,Motor Overhaul,Propeller x2,6.5,37511.54,77.1,1.0,TEC-217
WO-000365,VEH-0200,2025-06-06,Engine Service,Landing Skid,5.9,11089.82,31.6,0.0,TEC-067
WO-000366,VEH-0200,2024-03-19,Battery Pack Swap,Propeller x2,7.3,7755.58,38.2,1.0,TEC-025
WO-000367,VEH-0200,2024-08-21,Firmware Update,,10.9,6265.58,26.7,1.0,TEC-147
WO-000368,VEH-0733,2024-06-19,Landing Gear Fix,,8.9,39770.37,18.4,,TEC-146
WO-000369,VEH-0733,2025-07-02,Engine Service,,7.5,21110.07,2.2,0.0,TEC-074
WO-000370,VEH-0733,2025-01-06,Tyre Change,"Motor, ESC",  ,34499.02,85.5,0.0,TEC-189
WO-000371,VEH-0733,2025-04-15,Routine Inspection,"Motor, ESC",8.0,40088.45,79.9,0.0,TEC-135
WO-000372,VEH-0733,2025-02-15,Routine Inspection,Battery Pack,6.6,19855.93,89.2,0.0,TEC-038
WO-000373,VEH-0637,2024-05-07,Motor Overhaul,"Motor, ESC",13.8,7193.76,1.0,0.0,TEC-145
WO-000374,VEH-0637,2024-02-24,Firmware Update,"Motor, ESC",12.2,10641.58,44.0,0.0,TEC-011
WO-000375,VEH-0637,2025-06-03,Propeller Replacement,Landing Skid,8.5,30246.76,48.5,1.0,TEC-042
WO-000376,VEH-0637,2024-06-01,Landing Gear Fix,"Motor, ESC",10.3,3190.71,51.3,0.0,TEC-148
WO-000377,VEH-0637,2025-05-12,Propeller Replacement,Landing Skid,9.0,41565.29,17.8,0.0,TEC-037
WO-000378,VEH-0614,2025-04-05,Brake Pad Replacement,,0.7,43228.13,29.5,,TEC-144
WO-000379,VEH-0614,2024-12-13,Brake Pad Replacement,Landing Skid,8.8,22557.32,49.6,0.0,TEC-092
WO-000380,VEH-0614,2024-12-31,Brake Pad Replacement,Propeller x2,0.9,44060.04,30.6,,TEC-027
WO-000381,VEH-0210,2025-04-26,Firmware Update,Landing Skid,12.4,26374.56,22.4,0.0,TEC-172
WO-000382,VEH-0210,2024-06-17,Brake Pad Replacement,Propeller x2,13.8,12611.99,8.7,0.0,TEC-014
WO-000383,VEH-0210,2024-06-26,Frame Repair,Battery Pack,5.1,33758.79,44.2,1.0,TEC-062
WO-000384,VEH-0210,2025-05-05,Firmware Update,"Motor, ESC",11.3,24991.79,30.1,0.0,TEC-160
WO-000385,VEH-0516,2025-06-12,Engine Service,"Motor, ESC",5.7,25058.97,24.6,1.0,TEC-128
WO-000386,VEH-0726,2024-07-02,Routine Inspection,"Brake Pads, Fluid",8.1,43219.4,86.5,1.0,TEC-062
WO-000387,VEH-0319,2024-12-17,Routine Inspection,Propeller x2,1.9,30700.39,65.1,,TEC-103
WO-000388,VEH-0319,2025-04-01,Tyre Change,Propeller x2,4.4,33727.36,76.9,0.0,TEC-009
WO-000389,VEH-0319,2025-05-26,Frame Repair,Landing Skid,11.2,37021.88,19.4,1.0,TEC-044
WO-000390,VEH-0319,2025-03-26,Frame Repair,,9.6,32388.11,50.2,,TEC-065
WO-000391,VEH-0319,2024-06-05,Motor Overhaul,Propeller x2,12.3,16564.1,3.6,,TEC-004
WO-000392,VEH-0319,2024-05-12,Battery Pack Swap,Landing Skid,4.9,26590.57,61.3,1.0,TEC-033
WO-000393,VEH-0026,2025-03-31,Motor Overhaul,"Motor, ESC",5.5,47471.27,84.1,0.0,TEC-109
WO-000394,VEH-0279,2025-05-16,Brake Pad Replacement,Propeller x2,7.3,22983.73,69.9,0.0,TEC-184
WO-000395,VEH-0279,2024-12-18,Brake Pad Replacement,,12.0,3382.88,26.0,,TEC-220
WO-000396,VEH-0403,2024-10-11,Landing Gear Fix,,7.0,44079.4,13.6,1.0,TEC-129
WO-000397,VEH-0403,2024-04-15,Motor Overhaul,Landing Skid,7.6,35264.58,60.5,0.0,TEC-134
WO-000398,VEH-0431,2025-05-05,Frame Repair,Landing Skid,13.2,2553.21,84.9,0.0,TEC-188
WO-000399,VEH-0431,2024-02-18,Propeller Replacement,Propeller x2,2.7,29693.14,73.0,,TEC-196
WO-000400,VEH-0431,2024-03-19,Battery Pack Swap,"Motor, ESC",0.9,19746.27,50.5,1.0,TEC-100
WO-000401,VEH-0431,2024-05-16,Frame Repair,,7.1,15141.77,49.5,0.0,TEC-156
WO-000402,VEH-0431,2024-04-05,Firmware Update,Landing Skid,2.4,47990.81,15.2,1.0,TEC-052
WO-000403,VEH-0431,2025-03-12,Battery Pack Swap,,2.9,47997.36,22.4,0.0,TEC-138
WO-000404,VEH-0504,2024-09-14,Firmware Update,,13.7,41682.67,17.6,,TEC-019
WO-000405,VEH-0504,2025-06-28,Motor Overhaul,Propeller x2,8.5,12996.11,16.8,1.0,TEC-032
WO-000406,VEH-0504,2025-01-25,Brake Pad Replacement,Propeller x2,0.7,30977.87,33.2,0.0,TEC-175
WO-000407,VEH-0504,2024-11-21,Engine Service,,7.2,29881.36,8.1,1.0,TEC-086
WO-000408,VEH-0504,2024-11-09,Tyre Change,,11.4,42587.48,53.8,,TEC-208
WO-000409,VEH-0193,2025-04-27,Brake Pad Replacement,"Brake Pads, Fluid",4.5,6759.78,76.6,0.0,TEC-066
WO-000410,VEH-9872,2024-04-10,Routine Inspection,Propeller x2,5.7,35769.75,1.9,0.0,TEC-124
WO-000411,VEH-0193,2025-02-06,Engine Service,Propeller x2,5.8,880.96,40.5,1.0,TEC-095
WO-000412,VEH-0193,2025-04-18,Tyre Change,Landing Skid,unknown,4462.75,37.4,,TEC-024
WO-000413,VEH-0193,2024-08-13,Firmware Update,Propeller x2,6.6,5387.86,32.4,1.0,TEC-053
WO-000414,VEH-0193,2025-06-27,Brake Pad Replacement,"Motor, ESC",1.3,2586.97,68.9,1.0,TEC-124
WO-000415,VEH-0715,2024-08-14,Engine Service,"Motor, ESC",10.4,24622.53,2.0,,TEC-074
WO-000416,VEH-0715,2024-09-12,Engine Service,Battery Pack,5.1,20004.04,57.9,,TEC-127
WO-000417,VEH-0715,2024-02-11,Battery Pack Swap,"Motor, ESC",13.3,27959.14,22.2,1.0,TEC-013
WO-000418,VEH-0715,2025-02-19,Routine Inspection,Propeller x2,8.4,926.08,60.3,,TEC-173
WO-000420,VEH-0032,2025-03-17,Frame Repair,"Brake Pads, Fluid",6.9,11792.12,57.4,1.0,TEC-055
WO-000421,VEH-0032,2024-06-15,Engine Service,Landing Skid,5.1,43249.1,54.7,0.0,TEC-109
WO-000422,VEH-0032,2025-02-25,Landing Gear Fix,,10.1,30465.23,77.6,1.0,TEC-154
WO-000423,VEH-0709,2024-08-30,Firmware Update,,3.6,26590.44,40.0,1.0,TEC-177
WO-000424,VEH-0709,2025-02-07,Firmware Update,Landing Skid,4.8,10889.11,92.8,1.0,TEC-102
WO-000425,VEH-0709,2025-02-27,Brake Pad Replacement,Battery Pack,13.6,46363.29,95.6,0.0,TEC-220
WO-000426,VEH-0709,2024-08-06,Routine Inspection,,4.7,5059.78,65.6,1.0,TEC-163
WO-000427,VEH-0083,2025-10-04,Frame Repair,,12.1,30445.25,85.0,,TEC-102
WO-000428,VEH-0172,2024-09-29,Routine Inspection,"Motor, ESC",8.1,5376.25,52.4,0.0,TEC-039
WO-000429,VEH-0172,2024-05-07,Firmware Update,"Brake Pads, Fluid",3.1,45619.53,87.8,1.0,TEC-069
WO-000430,VEH-0172,2024-01-06,Routine Inspection,"Motor, ESC",11.7,36728.8,67.1,,TEC-203
WO-000431,VEH-0172,2024-02-21,Battery Pack Swap,"Motor, ESC",-,47806.95,73.7,1.0,TEC-080
WO-000432,VEH-0699,2025-03-05,Landing Gear Fix,Battery Pack,4.6,21876.62,71.5,,TEC-068
WO-000433,VEH-0699,2025-02-20,Propeller Replacement,Battery Pack,8.3,18854.11,12.1,0.0,TEC-139
WO-000434,VEH-0297,2025-03-15,Frame Repair,,6.0,29657.16,93.7,1.0,TEC-166
WO-000435,VEH-0557,2024-05-10,Engine Service,Battery Pack,11.7,8268.17,48.4,0.0,TEC-210
WO-000436,VEH-0557,2024-04-01,Routine Inspection,"Brake Pads, Fluid",11.4,29633.67,71.9,0.0,TEC-029
WO-000437,VEH-0695,2024-11-21,Motor Overhaul,,0.5,24361.75,19.0,0.0,TEC-180
WO-000438,VEH-0695,2024-03-19,Landing Gear Fix,Landing Skid,8.0,21614.52,35.0,1.0,TEC-120
WO-000439,VEH-0695,2024-09-17,Landing Gear Fix,Propeller x2,2.5,32892.21,14.8,0.0,TEC-090
WO-000440,VEH-0270,2024-05-11,Battery Pack Swap,"Motor, ESC",9.7,4618.43,15.1,0.0,TEC-021
WO-000441,VEH-0270,2024-08-19,Tyre Change,"Brake Pads, Fluid",11.2,38955.49,77.1,0.0,TEC-055
WO-000442,VEH-0169,2024-11-19,Engine Service,"Motor, ESC",9.1,12752.6,42.0,1.0,TEC-010
WO-000443,VEH-0701,2024-05-23,Firmware Update,,11.2,37451.16,32.7,1.0,TEC-135
WO-000444,VEH-0701,2024-12-16,Tyre Change,"Motor, ESC",2.6,11161.65,79.0,0.0,TEC-081
WO-000445,VEH-0701,2025-02-18,Engine Service,Landing Skid,4.1,10615.99,69.2,,TEC-155
WO-000446,VEH-0701,2025-03-13,Firmware Update,Battery Pack,12.3,45626.51,84.1,1.0,TEC-164
WO-000447,VEH-0701,2024-12-16,Frame Repair,,6.5,12562.19,62.7,,TEC-128
WO-000448,VEH-0701,2024-09-23,Routine Inspection,Propeller x2,1.7,11202.87,51.8,,TEC-169
WO-000449,VEH-0406,2024-11-29,Engine Service,Landing Skid,13.5,24503.52,79.5,1.0,TEC-205
WO-000450,VEH-0406,2024-06-16,Battery Pack Swap,Propeller x2,6.1,40197.05,91.0,0.0,TEC-087
WO-000451,VEH-0406,2024-12-28,Firmware Update,,12.1,25712.91,45.9,1.0,TEC-033
WO-000452,VEH-0406,2024-01-13,Tyre Change,"Brake Pads, Fluid",13.6,20784.22,83.0,0.0,TEC-068
WO-000453,VEH-0406,2024-01-15,Routine Inspection,Landing Skid,11.8,17795.99,21.9,,TEC-010
WO-000454,VEH-0008,2025-05-24,Routine Inspection,"Brake Pads, Fluid",11.3,11459.74,44.3,,TEC-187
WO-000455,VEH-0008,2024-08-31,Tyre Change,,4.2,42220.19,37.0,0.0,TEC-058
WO-000456,VEH-0008,2024-01-04,Brake Pad Replacement,Propeller x2,9.9,43223.66,66.9,,TEC-195
WO-000457,VEH-0008,2024-09-02,Motor Overhaul,,10.4,43738.65,54.6,1.0,TEC-141
WO-000458,VEH-0456,2024-03-22,Frame Repair,Landing Skid,12.2,8046.51,61.9,,TEC-012
WO-000459,VEH-0456,2025-04-19,Motor Overhaul,,5.1,5788.32,79.9,1.0,TEC-192
WO-000460,VEH-0456,2024-11-01,Motor Overhaul,,12.0,3801.63,15.6,1.0,TEC-077
WO-000461,VEH-0456,2024-11-16,Routine Inspection,,10.6,18634.12,75.1,0.0,TEC-052
WO-000462,VEH-0456,2024-01-29,Tyre Change,,13.3,33151.24,66.2,1.0,TEC-122
WO-000463,VEH-0449,2024-09-15,Routine Inspection,Battery Pack,12.0,30645.88,68.0,0.0,TEC-142
WO-000464,VEH-0449,2025-01-27,Firmware Update,"Motor, ESC",4.7,43495.11,33.0,1.0,TEC-193
WO-000465,VEH-0449,2025-05-05,Battery Pack Swap,Landing Skid,13.4,36559.52,68.8,1.0,TEC-112
WO-000466,VEH-0449,2024-07-17,Firmware Update,"Motor, ESC",7.8,47418.04,48.8,,TEC-042
WO-000467,VEH-0449,2025-05-03,Landing Gear Fix,"Brake Pads, Fluid",4.7,44340.69,23.9,1.0,TEC-060
WO-000468,VEH-0449,2024-09-08,Tyre Change,,9.2,26199.58,25.5,0.0,TEC-100
WO-000469,VEH-0064,2025-03-30,Brake Pad Replacement,"Brake Pads, Fluid",10.0,13299.4,56.5,1.0,TEC-118
WO-000470,VEH-0064,2024-07-19,Brake Pad Replacement,Propeller x2,12.0,12949.88,7.9,,TEC-067
WO-000472,VEH-0064,2024-12-31,Landing Gear Fix,,3.9,31768.0,86.6,0.0,TEC-099
WO-000473,VEH-0064,2025-03-25,Frame Repair,Battery Pack,12.5,35513.65,9.6,0.0,TEC-078
WO-000474,VEH-0064,2024-07-02,Brake Pad Replacement,,8.2,4557.5,85.7,1.0,TEC-090
WO-000475,VEH-0459,2025-03-24,Landing Gear Fix,,13.0,44370.95,72.6,1.0,TEC-094
WO-000476,VEH-9980,2024-04-14,Landing Gear Fix,"Motor, ESC",12.9,26292.23,54.7,,TEC-173
WO-000477,VEH-0459,2025-07-06,Battery Pack Swap,Propeller x2,1.8,3060.0,7.7,1.0,TEC-131
WO-000478,VEH-0459,2024-04-02,Tyre Change,Battery Pack,,6628.5,32.5,0.0,TEC-156
WO-000479,VEH-0459,2025-04-21,Frame Repair,Battery Pack,8.6,41264.32,26.1,0.0,TEC-106
WO-000480,VEH-0459,2024-09-11,Frame Repair,Battery Pack,10.6,28042.95,21.6,0.0,TEC-148
WO-000481,VEH-0450,2024-12-03,Engine Service,Landing Skid,,29773.64,73.0,1.0,TEC-034
WO-000482,VEH-0305,2024-07-25,Engine Service,"Motor, ESC",3.8,767.59,33.4,,TEC-121
WO-000483,VEH-0305,2024-01-21,Tyre Change,"Brake Pads, Fluid",12.1,19009.75,76.2,1.0,TEC-190
WO-000484,VEH-0305,2024-02-08,Engine Service,,12.8,15896.13,92.5,0.0,TEC-186
WO-000485,VEH-0305,2024-11-14,Frame Repair,"Brake Pads, Fluid",11.1,39498.97,41.0,0.0,TEC-127
WO-000486,VEH-0305,2024-12-06,Engine Service,,3.7,17957.79,56.2,0.0,TEC-193
WO-000487,VEH-0305,2024-01-27,Frame Repair,Landing Skid,10.2,5573.81,44.9,,TEC-085
WO-000488,VEH-0470,2024-03-08,Engine Service,Propeller x2,11.7,12036.41,7.1,,TEC-110
WO-000489,VEH-0485,2024-08-26,Routine Inspection,"Motor, ESC",4.1,20448.45,36.8,1.0,TEC-128
WO-000491,VEH-0485,2024-02-18,Firmware Update,Landing Skid,13.0,42951.05,24.6,0.0,TEC-211
WO-000492,VEH-0485,2024-02-18,Brake Pad Replacement,Propeller x2,7.4,22521.61,88.0,0.0,TEC-202
WO-000493,VEH-0485,2025-01-21,Brake Pad Replacement,Battery Pack,12.9,39654.74,72.5,1.0,TEC-136
WO-000494,VEH-0157,2024-02-10,Propeller Replacement,Battery Pack,7.5,35532.87,47.4,1.0,TEC-177
WO-000495,VEH-0157,2024-04-12,Propeller Replacement,"Motor, ESC",1.6,45304.55,39.6,1.0,TEC-026
WO-000496,VEH-0157,2024-05-27,Firmware Update,,-,23300.86,5.5,,TEC-136
WO-000497,VEH-0157,2025-05-10,Engine Service,,14.0,29507.49,52.6,1.0,TEC-126
WO-000498,VEH-0157,2024-08-09,Routine Inspection,Battery Pack,10.6,6093.92,3.3,0.0,TEC-056
WO-000499,VEH-0157,2025-04-13,Tyre Change,,3.5,31565.99,61.8,0.0,TEC-127
WO-000500,VEH-0514,2025-03-18,Routine Inspection,"Brake Pads, Fluid",5.3,14226.48,45.8,1.0,TEC-214
WO-000501,VEH-0514,2024-12-07,Routine Inspection,"Brake Pads, Fluid",7.3,34768.5,27.8,1.0,TEC-150
WO-000502,VEH-0514,2024-08-06,Brake Pad Replacement,"Brake Pads, Fluid",2.8,27223.93,91.0,,TEC-147
WO-000503,VEH-0514,2024-08-24,Motor Overhaul,Battery Pack,11.7,13660.59,46.4,0.0,TEC-072
WO-000504,VEH-0514,2025-02-07,Landing Gear Fix,Landing Skid,8.1,31342.3,18.5,0.0,TEC-091
WO-000505,VEH-0559,2024-02-06,Brake Pad Replacement,Landing Skid,9.3,25195.9,75.9,1.0,TEC-206
WO-000506,VEH-0559,2024-10-12,Landing Gear Fix,Landing Skid,3.4,38051.47,74.0,0.0,TEC-172
WO-000507,VEH-0094,2024-08-13,Motor Overhaul,Landing Skid,3.2,40196.28,28.3,,TEC-134
WO-000508,VEH-0094,2025-04-29,Landing Gear Fix,Propeller x2,4.5,42145.91,71.3,,TEC-112
WO-000509,VEH-0094,2024-08-13,Propeller Replacement,Battery Pack,10.6,29605.85,23.6,1.0,TEC-190
WO-000510,VEH-0094,2024-10-16,Propeller Replacement,Landing Skid,7.0,32219.67,53.3,0.0,TEC-190
WO-000511,VEH-0094,2024-10-21,Landing Gear Fix,Battery Pack,4.2,27311.61,2.9,0.0,TEC-163
