flight_id,drone_id,flight_timestamp,flight_duration_min,cumulative_flight_hours,battery_cycles,battery_start_pct,battery_end_pct,battery_health_pct,motor_temp_c,vibration_rms,payload_kg,max_altitude_m,wind_speed_kmph,gps_signal_quality,rotor_rpm_avg,error_codes,route_deviation_m,maintenance_required
FLT-0008554,VEH-0029,,29.6,895.96,1881,94.8,21.1,40.0,,3.144,1.15,136.1,13.1,Good,6098.0,,13.5,0
FLT-0031848,VEH-0106,2024-08-18 04:51:41,6.8,401.2,842,99.6,80.2,64.2,91.6,3.652,,58.1,32.5,Good,6789.0,E-THERM;E-VIB,10.9,0
FLT-0041290,VEH-0138,2024-07-01 16:46:00,15.9,347.43,729,95.5,37.7,74.5,75.6,2.254,4.87,100.4,36.4,Poor,5774.0,,37.3,0
FLT-0005014,VEH-0018,2024-02-03 18:06:00,15.6,481.41,1010,95.8,42.5,62.9,82.8,2.338,3.64,126.6,36.6,Good,6145.0,,1.2,0
FLT-0000366,VEH-0002,2024-03-20 03:15:31,,242.64,509,94.0,20.9,81.0,74.1,2.831,4.44,65.4,32.0,Poor,5898.0,,13.7,0
FLT-0020407,VEH-0069,2024-03-20 19:11:07,23.7,678.49,1424,92.2,26.2,50.5,73.9,2.827,,32.0,17.5,Fair,6467.0,,10.9,0
FLT-0009479,VEH-0031,2024-09-13 00:00:00,12.0,608.92,1278,100.0,45.2,47.9,102.5,4.774,4.88,139.7,20.3,Good,6175.0,E-THERM;E-VIB,33.0,1
FLT-0004904,VEH-0017,2024-02-09 14:25:37,36.6,323.89,680,99.3,2.0,69.2,102.3,4.3,4.35,35.2,34.6,Poor,,E-THERM;E-VIB;E-BATT,40.4,1
FLT-0038075,VEH-0127,2024-09-24 22:35:03,8.4,560.11,1176,95.8,67.5,52.9,94.4,4.079,,117.4,16.1,Good,5639.0,E-THERM;E-VIB,34.2,1
FLT-0021190,VEH-0071,2024-12-03 20:55:15,10.4,757.01,1589,95.7,71.3,44.4,76.4,2.919,,78.8,16.4,Good,6487.0,E-GPS,0.5,0
FLT-0003107,VEH-0011,2024-07-30 11:49:00,17.7,474.31,996,90.7,48.3,64.7,,2.551,1.38,102.1,24.0,Good,6437.0,,19.9,0
FLT-0006693,VEH-0023,2024-08-14 08:41:01,32.3,904.53,1899,98.2,2.0,40.0,88.5,2.528,5.79,135.7,32.8,Good,6409.0,E-THERM;E-BATT,8.0,0
FLT-0021600,VEH-0073,2024-09-03 08:18:25,32.0,853.94,1793,98.9,24.6,40.0,76.2,2.814,0.99,151.1,13.3,Fair,6370.0,E-GPS,32.3,0
FLT-0009643,VEH-0032,2024-05-25 01:16:38,32.8,493.28,1035,96.6,,66.0,66.2,1.003,,149.6,5.6,Good,6212.0,,0.1,0
FLT-0021798,VEH-0073,2024-07-21 12:47:00,22.4,921.94,1936,100.0,32.6,40.0,83.7,3.333,,121.2,3.7,Good,6091.0,E-GPS,1.8,1
FLT-0000669,VEH-0003,2024-06-29 05:08:00,14.6,412.05,865,93.7,28.1,64.9,95.2,4.175,5.68,128.2,24.2,Good,7128.0,E-THERM;E-VIB,25.2,1
FLT-0023690,VEH-0079,2024-09-07 18:15:30,4.9,746.66,1567,95.8,78.6,41.3,92.5,3.813,2.99,139.8,33.8,Fair,5652.0,E-THERM;E-VIB,18.9,1
FLT-0022104,VEH-0074,2024-07-14 05:14:40,4.5,201.55,423,92.7,76.4,78.0,85.0,3.563,3.62,32.8,22.2,Good,6172.0,,5.4,0
FLT-0023050,VEH-0077,2024-03-08 01:04:22,27.5,928.0,1948,95.9,2.0,40.0,100.7,4.005,4.15,130.0,40.0,Good,6170.0,E-THERM;E-VIB;E-BATT,6.9,1
FLT-0040473,VEH-0135,2024-04-08 00:34:28,32.4,529.59,1112,94.0,2.0,58.1,89.7,3.284,3.29,41.5,41.9,Good,,E-THERM;E-BATT,24.6,0
FLT-0000196,VEH-0001,2024-06-08 21:59:10,32.9,301.51,633,98.6,2.0,72.1,93.1,3.73,4.78,93.3,38.8,Good,6271.0,E-THERM;E-VIB;E-BATT,21.2,0
FLT-0014423,VEH-0047,2024-03-15 15:31:52,,138.95,291,96.3,47.3,84.2,73.6,2.115,0.8,140.6,1.6,Fair,6471.0,,29.0,0
FLT-0033589,VEH-0112,2024-05-05 11:07:00,10.0,405.75,852,99.3,72.1,70.2,66.2,2.023,2.38,60.0,23.3,Good,,,17.9,0
FLT-0036285,VEH-0121,2024-07-20 18:37:27,14.1,554.13,1163,95.0,45.4,58.6,75.5,2.537,3.95,127.8,21.5,Fair,6135.0,,6.8,0
FLT-0002550,VEH-0009,2024-06-27 15:09:42,29.9,609.94,1280,96.2,2.0,51.6,96.2,4.241,4.6,57.0,32.0,Poor,6461.0,E-THERM;E-VIB;E-BATT,30.3,1
FLT-0021218,VEH-0071,2024-01-04 13:45:53,10.3,765.93,1608,100.0,69.1,43.4,82.7,3.202,2.39,94.9,27.8,Poor,6094.0,,6.3,0
FLT-0001738,VEH-0006,2024-08-13 00:00:00,30.6,745.3,1565,100.0,2.0,47.0,74.0,3.073,3.79,55.4,1.6,Good,6284.0,E-BATT,10.0,0
FLT-0038350,VEH-0129,2024-02-29 13:38:44,5.3,491.5,1032,100.0,85.1,61.0,81.6,2.697,1.98,61.1,15.7,Fair,6105.0,,27.7,0
FLT-0019534,VEH-0066,2024-10-05 21:52:03,14.5,776.52,1630,90.4,,48.5,70.1,2.364,5.49,34.9,0.8,Good,5901.0,,15.4,0
FLT-0009892,VEH-0033,2024-03-27 01:21:23,37.5,111.91,235,91.1,2.0,87.5,83.5,3.096,5.58,104.1,32.8,Good,5943.0,E-BATT,15.3,0
FLT-0040436,VEH-0135,2024-07-08 00:00:00,25.4,516.57,1084,93.3,2.0,59.5,87.7,3.373,4.78,99.2,13.7,Good,5770.0,E-BATT,11.6,0
FLT-0033572,VEH-0112,2024-04-22 16:01:36,5.7,399.39,838,97.5,83.0,70.9,66.2,1.868,1.96,41.5,39.6,Fair,6487.0,,18.7,0
FLT-0019097,VEH-0064,2024-06-24 11:26:09,21.1,936.55,1966,100.0,34.7,40.0,68.8,1.843,,123.2,2.0,Fair,6578.0,,2.2,0
FLT-0036105,VEH-0121,2024-03-21 15:05:26,31.3,490.84,1030,87.9,2.0,65.5,75.7,2.165,3.32,152.5,28.5,Good,6223.0,E-BATT,13.4,0
FLT-0040157,VEH-0134,2024-07-16 19:02:00,16.1,699.21,1468,93.2,37.6,52.2,80.5,2.611,4.36,91.4,40.3,Poor,6380.0,,37.4,0
FLT-0040058,VEH-0134,,29.2,663.08,1392,100.0,19.5,56.1,66.0,,2.87,149.6,17.1,Good,6538.0,,1.6,0
FLT-0007744,VEH-0026,2024-06-23 08:28:37,5.2,738.92,1551,97.2,79.7,49.3,74.1,2.447,4.05,34.6,23.6,Fair,6480.0,,45.6,0
FLT-0028858,VEH-0097,2024-04-17 13:09:28,33.0,595.08,1249,100.0,16.8,55.7,81.5,2.427,1.48,116.6,41.4,Good,6242.0,,12.0,0
FLT-0024857,VEH-0083,2024-02-20 07:03:27,24.2,251.39,527,82.9,16.7,79.9,67.3,2.225,2.42,32.2,19.4,Good,6290.0,,13.6,0
FLT-0033217,VEH-0111,2024-03-11 00:00:00,16.1,275.43,578,91.6,43.7,81.2,65.2,1.856,3.6,57.5,33.6,Fair,6333.0,,22.0,0
FLT-0011076,VEH-0037,2024-06-10 01:05:00,36.5,475.96,999,96.1,2.0,64.9,71.7,2.722,5.39,159.2,9.5,Good,6476.0,E-BATT,19.3,0
FLT-0015789,VEH-0052,2024-03-02 00:52:54,13.5,765.79,1608,90.4,42.6,46.3,81.5,2.503,4.23,91.1,35.5,Good,6609.0,,29.8,0
FLT-0000988,VEH-0004,2024-05-24 21:16:40,26.9,173.43,364,96.8,13.7,83.3,63.9,2.64,,67.5,3.3,Fair,6359.0,,13.0,0
FLT-0021747,VEH-0073,2024-06-18 14:27:20,20.6,904.17,1898,100.0,8.7,40.0,93.2,3.579,5.48,138.3,16.8,Fair,6488.0,E-THERM;E-BATT,11.3,1
FLT-0041753,VEH-0140,2024-04-03 10:32:00,28.7,877.23,1842,94.4,2.0,40.7,80.8,2.123,4.63,103.6,19.6,Good,6675.0,E-BATT,16.8,0
FLT-0030051,VEH-0101,2024-07-03 22:17:59,22.8,449.01,942,100.0,51.8,68.3,58.9,2.032,0.94,34.5,19.7,Good,6020.0,,23.1,0
FLT-0037278,VEH-0125,2024-01-05 12:41:40,21.5,514.01,1079,97.5,55.3,64.1,68.8,1.886,0.53,122.3,38.4,Good,6798.0,,18.0,0
FLT-0002497,VEH-0009,2024-05-20 03:36:04,22.6,591.28,1241,97.1,12.2,53.6,90.1,3.711,3.99,128.2,36.5,Good,5942.0,E-THERM;E-VIB,4.0,0
FLT-0009007,VEH-0030,2024-11-06 23:21:42,17.9,632.15,1327,96.3,20.1,50.0,101.0,3.861,4.9,62.1,28.8,Poor,6452.0,E-THERM;E-VIB,21.9,1
FLT-0041242,VEH-0138,2024-05-27 17:20:39,22.7,332.04,697,90.3,43.5,76.3,60.0,1.127,0.89,71.1,13.5,Good,6583.0,,13.6,0
FLT-0017684,VEH-0059,2024-04-27 00:08:38,9.8,891.91,1873,94.8,75.4,41.2,61.2,1.633,0.7,46.9,36.3,Poor,6364.0,,22.4,0
FLT-0021348,VEH-0072,2024-03-23 23:25:46,19.3,284.61,597,96.5,45.1,74.8,70.5,2.615,1.75,149.9,8.6,Good,5643.0,,15.8,0
FLT-0031559,VEH-0106,2024-02-09 00:31:00,29.8,305.79,642,98.1,31.0,75.3,65.2,2.277,1.01,76.1,1.3,Poor,6172.0,,2.9,0
FLT-0034908,VEH-0116,2024-08-18 23:33:00,13.5,729.05,1531,94.1,50.9,47.7,68.6,2.803,3.2,89.0,0.6,Fair,5315.0,,12.6,0
FLT-0023298,VEH-0078,2024-06-19 17:21:59,16.5,289.69,608,95.6,37.8,72.7,94.0,3.891,3.42,45.5,40.5,Fair,5447.0,E-THERM;E-VIB,19.8,0
FLT-0011474,VEH-0038,2024-07-15 14:46:00,18.4,582.2,1222,91.4,28.0,52.8,87.8,3.444,3.05,156.8,25.2,Good,6419.0,,12.9,0
FLT-0040563,VEH-0136,2024-07-03 03:06:42,15.1,212.17,445,100.0,63.8,86.1,58.3,1.013,,114.4,19.9,Good,6355.0,,16.3,0
FLT-0009655,VEH-0032,2024-02-06 23:42:56,5.1,496.89,1043,100.0,90.4,65.5,52.1,1.037,0.38,87.3,0.8,Good,6554.0,,25.9,0
FLT-0005517,VEH-0019,2024-06-02 21:33:00,,621.97,1306,100.0,27.4,55.6,84.0,2.531,4.81,64.8,40.6,Poor,6188.0,,1.6,0
FLT-0003011,VEH-0011,2024-05-26 01:12:59,14.0,438.07,919,96.7,56.3,68.6,69.0,2.119,2.87,68.5,21.1,Good,6232.0,,34.3,0
FLT-0022358,VEH-0075,2024-06-12 11:43:00,12.0,859.96,1805,96.7,49.4,40.0,83.6,3.093,4.86,151.5,5.9,Poor,6839.0,,4.3,0
FLT-0013344,VEH-0044,2024-09-05 21:23:12,34.3,92.63,194,97.4,3.7,87.3,75.6,3.235,1.98,125.9,29.1,Good,6557.0,E-BATT,19.5,0
FLT-0005339,VEH-0019,2024-01-29 16:18:06,7.0,558.48,1172,90.3,67.6,62.6,69.5,2.306,4.13,123.9,17.2,Good,5617.0,,37.9,0
FLT-0011916,VEH-0039,2024-10-06 00:00:00,29.5,171.33,359,89.6,2.0,81.0,89.8,3.356,3.95,107.6,38.2,Good,6361.0,E-THERM;E-BATT,39.8,0
FLT-0015304,VEH-0050,2024-04-24 00:01:41,36.5,59.02,123,91.7,2.0,93.9,72.9,,3.99,75.4,41.0,Poor,6109.0,E-BATT,5.1,0
FLT-0036428,VEH-0122,2024-04-15 01:42:00,30.4,110.16,231,93.5,19.2,90.9,60.4,1.21,,134.3,0.3,Good,6142.0,,17.4,0
FLT-0018544,VEH-0062,,23.0,179.3,376,92.5,2.0,77.3,97.0,4.05,4.48,33.5,16.2,Poor,,E-THERM;E-VIB;E-BATT,44.4,1
FLT-0016218,VEH-0053,,28.8,210.09,441,96.8,2.0,81.0,79.6,2.84,4.2,123.2,31.5,Fair,5390.0,E-BATT,14.0,0
FLT-0002081,VEH-0008,2024-03-15 18:24:10,37.0,462.3,970,88.5,2.5,68.7,63.6,1.534,1.69,75.8,19.9,Good,5810.0,E-BATT,7.1,0
FLT-0014951,VEH-0049,2024-01-24 02:50:00,32.1,840.31,1764,98.3,2.0,45.1,76.5,2.473,5.6,57.5,31.0,Good,5737.0,E-BATT,21.3,0
FLT-0014672,VEH-0048,2024-04-21 23:34:06,12.8,882.01,1852,97.6,63.7,40.0,87.2,2.866,,95.4,26.4,Good,6718.0,,11.9,1
FLT-0018006,VEH-0061,2024-12-02 02:02:40,7.7,454.15,953,100.0,69.8,67.5,78.7,3.043,5.53,33.3,40.6,Poor,6179.0,,1.2,0
FLT-0022725,VEH-0076,2024-06-29 10:26:08,24.6,774.84,1627,92.4,18.2,44.9,76.3,2.865,2.77,124.9,19.4,Good,5686.0,,28.7,0
FLT-0016826,VEH-0055,2024-06-09 05:00:34,24.2,554.78,1165,100.0,26.6,54.1,88.4,4.096,2.07,143.3,36.1,Good,6164.0,E-THERM;E-VIB,35.1,1
FLT-0035641,VEH-0119,2024-04-26 09:49:25,24.5,160.1,336,96.2,4.8,85.3,75.4,2.872,4.87,139.0,12.5,Good,6820.0,E-BATT;E-GPS,8.5,0
FLT-0000896,VEH-0004,2024-03-22 11:09:44,28.4,141.16,296,100.0,45.0,86.8,69.8,2.183,,110.1,34.1,Poor,6223.0,,9.0,0
FLT-0019136,VEH-0064,2024-07-23 03:36:24,13.7,950.36,1995,92.9,,40.0,77.9,1.911,3.91,76.1,29.8,Good,6533.0,,33.5,0
FLT-0010085,VEH-0034,2024-02-02 20:27:13,25.7,259.03,543,96.3,12.8,76.9,75.4,2.738,3.24,149.2,1.1,Poor,5842.0,,14.4,0
FLT-0005529,VEH-0019,2024-10-06 06:08:29,23.1,625.89,1314,91.5,12.4,55.1,77.3,2.659,3.93,49.4,22.6,Fair,6020.0,,11.2,0
FLT-0017066,VEH-0056,2024-06-30 20:11:53,4.8,638.9,1341,99.2,86.0,50.6,89.7,3.139,1.7,137.5,27.8,Good,6665.0,E-THERM,7.9,0
FLT-0004565,VEH-0016,2024-06-11 00:00:00,35.0,549.14,1153,98.1,2.0,60.3,84.7,,3.72,158.2,41.6,Good,6178.0,E-BATT,2.7,0
FLT-0033063,VEH-0110,2024-08-16 01:49:07,,603.66,1267,97.3,2.0,56.9,72.3,2.158,3.16,141.8,17.1,Good,6311.0,E-BATT,19.4,0
FLT-0014400,VEH-0047,2024-02-29 15:35:41,20.2,132.33,277,100.0,46.6,85.0,,3.317,1.79,45.3,27.3,Fair,6436.0,,8.7,0
FLT-0012746,VEH-0042,2024-06-09 01:34:37,13.4,461.87,969,96.6,65.6,59.1,90.9,3.628,0.4,37.8,19.1,Good,6852.0,E-THERM;E-VIB,14.4,1
FLT-0006279,VEH-0022,2024-03-17 03:03:40,26.2,258.58,543,97.3,24.4,78.0,72.5,2.709,2.29,74.3,35.2,Good,5807.0,,43.0,0
FLT-0029229,VEH-0098,2024-05-22 11:30:40,28.7,625.35,1313,100.0,32.0,54.5,81.2,2.639,1.21,128.1,33.4,Good,6284.0,,8.5,0
FLT-0026546,VEH-0089,2024-07-05 07:04:06,22.8,166.96,350,99.0,5.2,79.5,106.4,3.528,4.63,33.7,33.6,Fair,6568.0,E-THERM;E-BATT,42.4,1
FLT-0031287,VEH-0104,2024-09-15 15:14:23,7.2,968.4,2033,91.4,69.0,40.0,97.4,3.87,1.98,113.6,27.6,Fair,5704.0,E-THERM;E-VIB,4.8,1
FLT-0033337,VEH-0111,2024-06-02 11:43:24,34.0,318.15,668,97.2,17.8,76.5,67.9,1.951,1.51,134.4,26.3,Good,6377.0,,11.8,0
FLT-0027444,VEH-0092,2024-08-29 17:46:46,5.7,170.18,357,98.9,75.2,81.6,90.3,3.214,5.22,148.0,32.1,Fair,6022.0,E-THERM,13.5,0
FLT-0005486,VEH-0019,2024-12-05 23:37:06,9.6,610.5,1282,97.5,68.0,56.8,69.1,2.174,3.2,84.4,12.5,Good,6359.0,,4.7,0
FLT-0014898,VEH-0048,2024-09-25 00:00:00,25.8,963.08,2022,93.6,2.0,40.0,93.7,4.219,3.2,156.0,11.8,Good,6463.0,E-THERM;E-VIB;E-BATT,38.2,1
FLT-0026547,VEH-0089,2024-05-07 20:06:20,35.7,167.56,351,89.9,2.0,79.4,90.4,3.891,,38.8,16.9,Good,5357.0,E-THERM;E-VIB;E-BATT,16.2,0
FLT-0012902,VEH-0043,2024-02-15 12:28:01,20.3,558.58,1173,92.5,24.7,62.0,,2.388,4.27,96.1,39.7,Good,6329.0,,19.2,0
FLT-0008317,VEH-0028,2024-05-25 05:46:23,13.4,834.1,1751,97.7,48.6,41.9,82.6,2.69,4.5,117.1,29.4,Fair,6358.0,,24.9,0
FLT-0016381,VEH-0054,2024-11-05 23:45:59,37.3,160.79,337,93.8,2.0,83.1,85.7,3.323,5.41,94.6,14.7,Good,6077.0,E-BATT,24.3,0
FLT-0031723,VEH-0106,2024-05-27 13:12:28,15.5,359.43,754,95.5,49.4,69.0,87.2,3.111,2.31,109.3,27.9,Fair,6746.0,,23.8,0
FLT-0041661,VEH-0139,2024-05-27 06:21:38,25.8,342.9,720,93.4,2.0,72.1,72.2,2.954,5.06,33.6,8.1,Poor,5790.0,E-BATT,16.3,0
FLT-0031523,VEH-0105,2024-06-21 00:00:00,5.0,595.56,1250,99.7,,57.0,83.5,3.117,5.63,114.5,40.3,Poor,5839.0,,26.6,0
FLT-0041040,VEH-0137,2024-07-25 09:28:05,29.1,596.89,1253,92.4,2.0,57.9,,2.258,4.4,118.4,25.9,Good,6090.0,E-BATT,2.1,0
FLT-0015465,VEH-0050,2024-08-14 17:49:17,4.3,114.21,239,87.3,77.4,87.7,71.5,2.19,,159.4,24.7,Fair,6152.0,,6.8,0
FLT-0023855,VEH-0080,2024-04-20 22:31:44,24.8,657.61,1380,100.0,50.3,53.9,71.6,1.665,,55.8,33.0,Good,7087.0,,6.9,0
FLT-0038441,VEH-0129,2024-05-05 17:01:24,23.3,527.22,1107,94.2,33.3,57.4,81.9,,1.36,104.6,2.7,Good,6376.0,,29.8,0
FLT-0013558,VEH-0045,2024-02-21 06:59:18,15.4,730.26,1533,92.4,66.1,53.4,63.0,0.818,,113.9,38.6,Poor,6221.0,,28.2,0
FLT-0010813,VEH-0036,2024-04-28 00:24:05,12.4,246.47,517,96.9,66.8,80.0,67.4,1.959,1.59,158.2,21.8,Fair,5429.0,,4.8,0
FLT-0041806,VEH-0140,2024-05-08 00:00:00,8.2,896.0,1881,88.2,56.0,40.0,81.0,2.322,5.29,72.6,37.9,Fair,6375.0,,16.0,0
FLT-0025884,VEH-0087,2024-08-04 11:09:13,34.2,655.82,1377,100.0,2.0,53.1,82.3,3.164,4.65,98.5,31.2,Good,5935.0,E-BATT,33.0,0
FLT-0015488,VEH-0050,2024-08-30 00:00:00,21.0,122.21,256,99.2,33.9,86.9,78.3,3.0,3.14,136.6,38.3,Fair,6932.0,,24.7,0
FLT-0035846,VEH-0120,2024-05-03 16:22:35,12.8,898.15,1886,98.8,58.0,40.0,,2.946,3.03,69.7,4.0,Good,6055.0,,24.8,0
FLT-0000029,VEH-0001,2024-02-17 04:51:31,23.6,242.66,509,90.8,3.3,78.3,,,4.42,133.0,12.9,Good,6151.0,E-BATT,11.4,0
FLT-0007815,VEH-0026,2024-10-08 16:52:00,14.5,762.0,1600,96.9,42.6,46.7,79.8,2.835,4.76,60.6,31.2,Good,6431.0,,3.9,0
FLT-0003988,VEH-0014,2024-07-06 21:50:42,9.5,704.23,1478,87.3,55.9,49.5,78.4,2.265,3.49,91.6,19.4,Good,5986.0,,26.0,0
FLT-0022923,VEH-0077,2024-05-11 02:57:00,31.0,881.73,1851,100.0,16.8,40.0,84.1,3.294,1.57,147.2,14.2,Good,6572.0,,4.4,0
FLT-0010204,VEH-0034,2024-04-22 11:19:44,9.9,301.0,632,88.3,47.9,72.3,98.4,,4.81,126.8,34.1,Good,6427.0,E-THERM;E-VIB,12.3,1
FLT-0003497,VEH-0012,2024-12-07 01:37:03,,485.49,1019,92.9,47.4,60.6,83.2,3.062,1.8,133.7,3.3,Good,6475.0,,22.9,0
FLT-0036081,VEH-0121,2024-04-03 21:26:09,29.4,481.88,1011,94.6,2.0,66.4,76.0,2.416,5.57,124.0,19.8,Fair,5918.0,E-BATT,21.5,0
FLT-0001957,VEH-0007,2024-01-06 02:49:42,10.1,167.19,351,100.0,79.8,84.1,67.4,2.165,0.39,149.6,28.0,Poor,6034.0,,5.3,0
FLT-0032255,VEH-0108,2024-11-04 00:39:40,34.3,500.99,1052,89.2,27.4,66.0,58.2,1.372,0.25,106.1,5.0,Poor,5366.0,,19.8,0
FLT-0004810,VEH-0017,2024-06-30 12:23:00,30.4,290.99,611,100.0,2.0,72.8,96.1,3.937,5.22,135.4,33.2,Fair,6253.0,E-THERM;E-VIB;E-BATT,13.8,0
FLT-0029368,VEH-0098,2024-02-09 21:51:29,,674.34,1416,88.6,40.8,49.1,88.9,3.715,,127.2,32.0,Good,6419.0,E-THERM;E-VIB,35.4,0
FLT-0010043,VEH-0033,2024-07-09 10:30:00,19.1,162.91,342,93.8,12.4,81.9,91.5,3.412,5.43,99.6,23.9,Good,6281.0,E-THERM,31.3,0
FLT-0016754,VEH-0055,2024-07-19 16:37:00,28.8,529.51,1111,95.4,2.0,56.9,82.4,3.826,3.42,67.8,5.8,Fair,6453.0,E-VIB;E-BATT,33.4,0
FLT-0014075,VEH-0046,2024-05-22 15:11:00,29.0,156.47,328,98.7,34.3,83.4,71.3,2.053,0.77,109.7,14.8,Good,6712.0,,32.0,0
FLT-0025201,VEH-0084,2024-06-08 10:06:00,16.0,481.91,1012,94.7,58.3,63.4,72.5,1.922,,69.7,14.8,Good,6320.0,,12.5,0
FLT-0022116,VEH-0074,2024-07-23 07:56:00,4.9,204.82,430,89.2,68.1,77.6,89.9,3.92,,71.6,38.6,Good,6759.0,E-THERM;E-VIB,29.6,0
FLT-0040401,VEH-0135,2024-06-16 02:28:00,23.6,504.41,1059,94.2,4.6,60.8,81.9,2.607,4.42,125.3,10.0,Good,5251.0,E-BATT,31.5,0
FLT-0002315,VEH-0008,2024-08-26 21:53:45,35.9,546.42,1147,94.0,2.0,59.7,91.6,3.032,5.43,153.7,37.8,Good,6330.0,E-THERM;E-BATT,17.8,0
FLT-0035020,VEH-0117,2024-03-18 02:43:00,20.7,550.33,1155,94.0,22.6,62.0,70.6,2.254,4.44,75.1,21.0,Poor,5863.0,,17.8,0
FLT-0018793,VEH-0063,2024-07-20 15:03:00,11.2,561.37,1178,100.0,56.9,56.0,87.3,3.661,4.29,42.8,35.2,Fair,5207.0,E-VIB,2.4,0
FLT-0039236,VEH-0131,2024-08-31 04:37:45,23.7,957.49,2010,95.2,,40.0,81.2,2.919,,129.6,13.3,Good,6277.0,,17.9,0
FLT-0007151,VEH-0024,2024-08-13 12:49:41,28.8,174.41,366,94.9,2.0,78.6,91.6,4.175,5.43,89.1,16.7,Fair,6486.0,E-THERM;E-VIB;E-BATT,17.0,1
FLT-0001633,VEH-0006,2024-05-27 04:51:05,26.8,710.91,1492,100.0,48.1,51.0,67.4,1.401,0.38,48.0,14.5,Good,6385.0,E-GPS,6.9,0
FLT-0022244,VEH-0075,2024-03-29 07:29:56,5.6,820.1,1722,92.4,70.3,43.3,74.6,2.688,5.31,81.2,2.2,Poor,6394.0,,15.4,0
FLT-0001563,VEH-0006,2024-08-04 17:23:31,22.5,687.73,1444,99.6,42.8,53.5,70.6,1.509,2.06,70.0,36.6,Good,6041.0,,12.5,0
FLT-0003233,VEH-0012,2024-10-01 18:54:58,12.8,396.97,833,92.6,48.5,70.1,70.0,2.765,4.09,122.3,8.8,Good,5989.0,,9.7,0
FLT-0035427,VEH-0118,2024-05-22 16:22:12,15.5,845.35,1775,90.0,44.1,41.1,73.8,2.793,2.75,97.5,28.7,Fair,5722.0,,2.5,0
FLT-0013841,VEH-0045,2024-08-27 05:24:00,28.2,831.46,1746,99.2,11.3,42.5,72.4,2.469,3.23,53.8,10.8,Poor,6348.0,E-BATT,22.5,0
FLT-0031028,VEH-0104,2024-03-15 14:39:18,18.5,879.02,1845,100.0,46.2,40.0,84.2,2.784,2.15,63.3,35.1,Poor,5948.0,,1.9,0
FLT-0011785,VEH-0039,2024-07-04 21:41:57,32.8,127.34,267,98.2,32.5,86.0,71.9,2.304,0.33,125.8,24.6,Good,6534.0,,3.1,1
FLT-0027581,VEH-0093,2024-03-31 03:30:20,26.1,220.17,462,93.9,21.1,80.0,74.2,2.779,2.23,144.8,6.7,Good,6004.0,,29.8,0
FLT-0002314,VEH-0008,2024-08-26 13:18:28,12.9,545.82,1146,99.2,59.6,59.7,74.2,2.384,2.96,150.1,30.1,Good,6669.0,,16.9,0
FLT-0017787,VEH-0060,2024-10-02 07:22:05,33.3,315.57,662,96.7,2.0,78.1,69.5,2.221,5.11,154.6,29.8,Good,6093.0,E-BATT,4.9,0
FLT-0024286,VEH-0081,2024-04-29 01:27:34,13.8,380.9,799,97.2,63.5,67.6,76.6,2.838,1.08,64.4,14.1,Good,6862.0,,18.0,0
FLT-0035555,VEH-0119,2024-02-25 16:29:00,30.6,129.37,271,97.6,2.0,88.7,69.0,1.889,4.73,43.0,17.4,Good,6981.0,E-BATT,18.1,0
FLT-0022485,VEH-0075,2024-09-07 01:17:00,35.0,903.95,1898,95.1,2.0,40.0,94.3,3.775,3.77,43.6,33.9,Good,6591.0,E-THERM;E-VIB;E-BATT,28.9,1
FLT-0006151,VEH-0021,2024-06-19 01:10:00,13.1,458.79,963,91.0,41.5,60.2,87.8,,,52.2,6.3,Good,5564.0,E-VIB,13.6,0
FLT-0000578,VEH-0003,2024-04-26 02:35:38,,379.41,796,95.5,2.0,68.4,90.5,3.752,5.28,123.0,35.3,Fair,5571.0,E-THERM;E-VIB;E-BATT,5.4,0
FLT-0001338,VEH-0005,2024-04-30 00:00:00,30.7,791.15,1661,96.3,2.0,40.6,92.0,3.996,5.15,77.7,8.6,Good,6267.0,E-THERM;E-VIB;E-BATT,12.0,1
FLT-0005871,VEH-0020,2024-06-24 01:47:51,31.9,710.2,1491,92.9,2.0,47.9,80.9,2.927,5.59,125.8,2.0,Good,6355.0,E-BATT,13.3,0
FLT-0010628,VEH-0035,2024-07-24 17:40:21,4.4,516.66,1084,95.3,81.0,61.5,80.1,2.405,3.38,152.5,33.9,Good,5967.0,,19.5,0
FLT-0040880,VEH-0137,2024-03-04 07:57:01,30.9,541.7,1137,94.5,2.0,64.0,,2.464,5.74,59.1,24.4,Good,6680.0,E-BATT,2.3,0
FLT-0028324,VEH-0095,2024-06-16 17:20:17,14.2,575.24,1207,91.7,46.2,54.1,,3.743,2.64,86.9,16.6,Poor,6513.0,E-VIB,28.1,0
FLT-0006483,VEH-0023,2024-03-23 16:34:00,35.7,826.35,1735,95.9,2.0,46.4,,1.831,4.37,36.4,19.7,Poor,6084.0,E-BATT,11.6,0
FLT-0014685,VEH-0048,2024-04-30 13:31:00,36.6,887.11,1862,98.1,2.0,40.0,89.9,3.413,2.22,93.6,27.1,Poor,6588.0,E-THERM;E-BATT,23.5,1
FLT-0007277,VEH-0025,2024-04-30 09:44:45,16.7,755.16,1585,91.3,31.2,49.9,69.6,2.238,5.04,159.6,7.1,Good,6159.0,,20.4,0
FLT-0029660,VEH-0099,,26.0,806.24,1693,99.7,35.5,40.0,,3.626,0.91,69.8,24.3,Good,5891.0,E-THERM;E-VIB,8.5,1
